provider_record_id,series_title,season_number,episode_number,episode_title,air_date,duration_minutes
P001,Deep Orbit,1,1,First Light,2026-01-05,47
P002, deep   orbit ,1,2,Silent Signal,2026-01-12,48
P003,Deep Orbit,1,2,Silent Signal,2026-01-12,48
P004,Deep Orbit,one,3,Red Horizon,2026-01-19,49
P005,Unknown Harbor,1,1,Pilot,2026-02-01,44
P006,Deep Orbit,1,3,Red Horizon,2026-31-01,-5
P007,Deep Orbit,1,4,,2026-01-26,51
P008,Deep Orbit,1,5,Beyond the Rim,2026-02-02,50
P009,Harbor Unit,2,1,Night Watch,2026-03-03,not_known
P010,Harbor Unit,2,2,False Alarm,2026-03-10,46

